sample_id,label,binary_target,severity_ordinal,repository,commit_hash,path,start_line,end_line,code_name,wmc,cbo,lcom,rfc,dit,loc,cc_max,nom,nof,cida,coa,method_loc_max,method_loc_avg,method_param_max,foreign_method_calls,foreign_field_accesses,local_field_accesses,accessed_foreign_class_count,envy_method_ratio,jdeodorant_signal,iplasma_signal,designite_signal,jspirit_signal,code_churn,volatility,bug_fix_ratio,author_count,hotspot_proxy,evolution_intensity
5788583,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,88,99,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,4.0,10.0,1.0,17.0,0.0,51.0,1.0,4.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.7735849056603774,0.0,2.0,0.0,0.0
5788583,FEATURE_ENVY,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,88,99,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,4.0,10.0,1.0,17.0,0.0,51.0,1.0,4.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.7735849056603774,0.0,2.0,0.0,0.0
5782292,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/security/SecureShuffleUtils.java,111,118,org.apache.tez.runtime.library.common.security.SecureShuffleUtils.verifyReply String|String|SecretKey,6.0,13.0,0.9333333333333333,19.0,0.0,41.0,1.0,6.0,4.0,1.0,0.0,2.0,1.3333333333333333,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,1.2425371224139345,0.2857142857142857,3.0,0.0,0.0
5782292,FEATURE_ENVY,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/security/SecureShuffleUtils.java,111,118,org.apache.tez.runtime.library.common.security.SecureShuffleUtils.verifyReply String|String|SecretKey,6.0,13.0,0.9333333333333333,19.0,0.0,41.0,1.0,6.0,4.0,1.0,0.0,2.0,1.3333333333333333,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,1.2425371224139345,0.2857142857142857,3.0,0.0,0.0
5780746,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-api/src/main/java/org/apache/tez/common/ReflectionUtils.java,76,82,org.apache.tez.common.ReflectionUtils.createClazzInstance String,12.0,25.0,1.0,25.0,0.0,103.0,11.0,2.0,11.0,1.0,0.0,25.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.7798824601837754,0.0,3.0,0.0,0.0
5780746,FEATURE_ENVY,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-api/src/main/java/org/apache/tez/common/ReflectionUtils.java,76,82,org.apache.tez.common.ReflectionUtils.createClazzInstance String,12.0,25.0,1.0,25.0,0.0,103.0,11.0,2.0,11.0,1.0,0.0,25.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.7798824601837754,0.0,3.0,0.0,0.0
5786929,GOD_CLASS,1,3,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,89,1427,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter,47.0,137.0,0.7320261437908497,175.0,1.0,1073.0,7.0,18.0,165.0,1.0,0.03680981595092025,33.0,8.833333333333334,4.0,2.0,4.0,157.0,3.0,0.0,0.0,0.0,0.0,0.0,2281.0,2.399942445543874,0.04878048780487805,10.0,0.0,0.0
5785684,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-dag/src/main/java/org/apache/tez/dag/history/events/DAGCommitStartedEvent.java,95,99,org.apache.tez.dag.history.events.DAGCommitStartedEvent#toSummaryProtoStream OutputStream,8.0,13.0,0.7857142857142857,24.0,0.0,61.0,1.0,8.0,2.0,1.0,0.14285714285714285,3.0,1.25,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,1.3253327144793603,0.125,3.0,0.0,0.0
5785684,FEATURE_ENVY,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-dag/src/main/java/org/apache/tez/dag/history/events/DAGCommitStartedEvent.java,95,99,org.apache.tez.dag.history.events.DAGCommitStartedEvent#toSummaryProtoStream OutputStream,8.0,13.0,0.7857142857142857,24.0,0.0,61.0,1.0,8.0,2.0,1.0,0.14285714285714285,3.0,1.25,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,1.3253327144793603,0.125,3.0,0.0,0.0
5784280,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-dag/src/main/java/org/apache/tez/dag/app/dag/RootInputInitializerManager.java,297,302,org.apache.tez.dag.app.dag.RootInputInitializerManager.InputInitializerCallback.InputInitializerCallback InitializerWrapper|EventHandler|TezVertexID,54.0,86.0,0.7285714285714286,110.0,0.0,376.0,9.0,21.0,35.0,0.990909090909091,0.23972602739726026,31.0,7.666666666666667,3.0,35.0,0.0,111.0,8.0,0.047619047619047616,0.0,0.0,0.0,0.0,760.0,1.5248450264110898,0.0625,4.0,0.0,0.0
