sample_id,label,binary_target,severity_ordinal,repository,commit_hash,path,start_line,end_line,code_name,wmc,cbo,lcom,rfc,dit,loc,cc_max,nom,nof,cida,coa,jdeodorant_top,iplasma_top,designite_top,jspirit_top,code_churn,volatility,bug_fix_ratio,author_count,expert_score,hotspot_score,cm_score,complexity_level
SMOTE_SYNTHETIC_3010,GOD_CLASS,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.004983742658743816,0.035714627842430874,0.9152638297191265,0.0076602143696568375,0.0,0.0029908786795766634,0.07687830972767111,0.003980997584682184,0.002315208036387307,0.11739126808131652,0.038407383195891674,0.9751720652700667,0.8581181674193845,0.7140488001304548,0.9045079433464107,0.1125094005731508,0.18472625518228836,0.0,0.055166754304177376,0.8888416724658806,0.7,0.9492102609842353,0.8695378865967895
SMOTE_SYNTHETIC_4091,LONG_METHOD,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0008676003709895599,0.06215792178217945,0.6071600858090597,0.007884771928488347,0.0,0.001897837329072441,0.02874864621279307,0.0012332049449689543,0.008578389668211022,0.2237110156359297,0.03222116123894364,1.0,0.5234094058231575,0.8758293336488393,0.4,0.0014933400119862127,0.0959934499496565,0.6561484659594802,0.03441695735104627,0.7111308579823682,0.729089337534211,0.6139538741034518,0.4174490004695069
SMOTE_SYNTHETIC_4060,LONG_METHOD,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.00037310331784049677,0.02209702436715222,0.3632308575565024,0.0026710630294680005,0.0,0.0011934931038079604,0.02573504764202791,0.0004464025119878487,0.0032460298502416367,0.40882057170433495,0.009344131245100524,0.5985728343505187,0.36602527654564465,0.5665804212278881,0.25470765697739906,0.0014480867523521705,0.2945097654825727,0.02378593781626044,0.04292825679394366,0.45343997237467343,0.5881413524093679,0.4046283292437865,0.2582972848245794
SMOTE_SYNTHETIC_2186,GOD_CLASS,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.003304107658439465,0.025648361238753803,0.7299647019195286,0.004843582224807661,1.0,0.002628431355806553,0.08963558824878859,0.0018862631239841476,0.005875564742439732,0.18324863776339917,0.05286860619179495,1.0,0.8285986090323454,0.7480035534101561,1.0,0.0014199995465524174,0.3061846403711745,0.11525255470986863,0.04448644303446929,0.9207004389641564,0.7345757664129605,0.8837221288346387,0.8798035419745033
SMOTE_SYNTHETIC_1706,GOD_CLASS,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.009951574618164441,0.1043060570982895,0.948461334755524,0.018595207353595815,1.0,0.009708725987823819,0.6340092283980062,0.004673877869917213,0.004178923449417728,0.1457192345265027,0.1675946024999369,1.0,0.9896922669511048,0.830790140835427,1.0,0.003842183375732156,0.13068307265803109,0.0,0.018197531413114632,0.98244576112531,0.7,0.9845384004266572,0.9845384004266572
SMOTE_SYNTHETIC_1432,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0014471399222318487,0.040055482538072285,0.8789507608382442,0.005634183255110679,0.0,0.0012413231153960537,0.033363195042566976,0.00148640109194169,0.0014750515794301178,0.23531107797246992,0.04369564963174797,1.0,0.6053430457221353,0.6342606780878458,0.4994624892337945,0.000908838610105227,0.18858222340589148,0.0,0.04512500362905804,0.7030989073120175,0.475446740439174,0.7536959784667973,0.6036422273901767
SMOTE_SYNTHETIC_4771,LONG_METHOD,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.002187220297630267,0.0440556638585343,0.5711857673778544,0.0032031344949079946,0.0,0.001407546314579243,0.10774477580002045,0.0009660131859077731,0.002415206142772222,0.5023770012338222,0.05374326925359146,1.0,0.6350450455580522,0.6498161218169791,0.6267656725999387,0.0008474178480573984,0.20769272738081831,0.0,0.03220417569663266,0.7481887821854839,0.35075959596147616,0.8036382378293465,0.7875788342693834
SMOTE_SYNTHETIC_2092,GOD_CLASS,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0004378742879374885,0.023165213032868365,0.1096027273277422,0.0029669668065659726,0.0,0.0006111972640605234,0.01856879797796415,0.0004286015162162776,0.0022542291327543283,0.5900129707526958,0.011896768162438662,0.6185067000544648,0.28479260697118236,0.631014889091369,0.2,0.0005731957233727732,0.14216323307960335,0.04891194800479234,0.052637834517607784,0.4377142779877961,0.31453324626121076,0.3362715090810064,0.16625035274245686
5220265,GOD_CLASS,1,2,git@github.com:apache/ode.git,b2ddc6436891f84f716ffcbed8c1cd1e374bd805,/bpel-compiler/src/main/java/org/apache/ode/bpel/compiler/wsdl/WSDLReaderImpl.java,52,177,org.apache.ode.bpel.compiler.wsdl.WSDLReaderImpl,0.0,0.023758099352051837,0.0,0.002143392991104919,1.0,0.0009411300731392514,0.0,0.0,0.005298793052693553,0.0,0.0,0.3,0.2525,0.5759967411782677,0.2,0.0004950905748135381,0.14912104945554128,0.0,0.033707865168539325,0.3322751284730848,0.259,0.264,0.0
3951549,LONG_METHOD,1,2,git@github.com:apache/apex-malhar.git,1acaf15f425d72f19bb590c667987ed5d81d7f25,/kudu/src/main/java/org/apache/apex/malhar/kudu/AbstractKuduOutputOperator.java,234,347,org.apache.apex.malhar.kudu.AbstractKuduOutputOperator#performCommonProcessing Operation|KuduExecutionContext,0.004844655081621906,0.08531317494600432,0.7878787878787878,0.009859607759082628,1.0,0.004105119747597878,0.16666666666666666,0.002844214608920491,0.009420076538121873,0.1661931818181818,0.11961722488038277,1.0,0.9365757575757576,0.9028301755782788,1.0,0.0017823260693287375,0.19550962078036463,0.0,0.02247191011235955,0.9850997206236514,0.7,0.9363636363636364,0.9363636363636364
SMOTE_SYNTHETIC_108,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0006972470159185167,0.016393672380366604,1.0,0.0019484021674225137,1.0,0.0005374559311735491,0.007227228002032175,0.0016339907888249581,0.0003298087771993867,0.014328620969799588,0.004856674890039663,0.5575927916770738,0.45902438609515367,0.3110605325048904,0.4,0.0007177919020278672,0.3166303237457966,0.03240757903196001,0.17166109554069775,0.4463813729169627,0.3852254888439796,0.5880922541489748,0.43194378746565687
SMOTE_SYNTHETIC_610,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0011618221922095752,0.026239740250862297,0.04257135318549812,0.0028981886349849647,0.0,0.0015906622372495953,0.030022228085572367,0.0012350356550164536,0.008768912815363827,0.54720523807684,0.007941384088088132,0.6472499340373108,0.42594862622184676,0.7849667079834034,0.2,0.0008571568211180364,0.1332854757122987,0.0,0.024146064451115095,0.5182728664107589,0.440274719472749,0.47906343022991904,0.29735545450418865
SMOTE_SYNTHETIC_1332,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0017688705994866605,0.03628723174116776,0.7667028824415503,0.0047349378810956355,0.0,0.002038588825590621,0.042171403801398256,0.001300175887111989,0.0029805254288172317,0.1651804180750936,0.04637865795784098,1.0,0.6630078561931921,0.6367044577460078,0.7295426342125844,0.0010834466477263106,0.18499096338822987,0.0,0.018513631135538444,0.7796972469557604,0.5667905955729398,0.7776004764702539,0.6505547398915122
SMOTE_SYNTHETIC_1130,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0,0.022062802287971743,0.0,0.0015886703777302402,1.0,0.0006358749799907253,0.0,0.0,0.0024312942701444507,0.0,0.0,0.24777319907042095,0.2006537825974166,0.39311297923112887,0.15647766589201748,0.0004701709640578846,0.13169173288645414,0.0,0.018571179905839754,0.2509074740362903,0.24596363955596395,0.245161859023942,0.0
SMOTE_SYNTHETIC_3578,LONG_METHOD,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,4.445342016688769e-05,0.019101880019371915,0.0,0.001446069319096865,1.0,0.00045350288138260606,0.004689835827606651,0.00010913645106259821,0.0017854055619120348,0.0,0.0,0.26532511346907595,0.2071059413334182,0.3790791512512221,0.2,0.0006356791583915495,0.17853642068786246,0.0,0.02247191011235955,0.26549914112974066,0.24026477349137515,0.2190134543670143,0.02363677257113752
SMOTE_SYNTHETIC_476,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.0,0.01252290251372824,0.0,0.0018095199634922715,1.0,0.0004552257204855967,0.0,0.0,0.0003453205272241453,0.0,0.0,0.17394311591568523,0.141356388868692,0.2509298440533718,0.18846307793463857,0.7994696443338285,0.3654218177494579,0.24120661427945012,0.07800354370419317,0.19124331721970156,0.772361984283835,0.1391544927325482,0.0
SMOTE_SYNTHETIC_948,FEATURE_ENVY,1,1,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,SMOTE_SYNTHETIC,0,0,SMOTE_SYNTHETIC,0.000315955766192733,0.026871179936053237,0.910347018057843,0.0035779923186197806,0.0,0.0013242612207012498,0.020728005856519606,0.0002933366445800221,0.006466180692553116,0.06721295157517122,0.005749852676410781,0.5052801027232383,0.4909419915471671,0.647620346521628,0.3462082108347058,0.0007604179210962109,0.1490906525771265,0.02988432731405234,0.020301986937970935,0.5047478943288581,0.4067677440155557,0.6035591201171883,0.39572492650082347
7484156,GOD_CLASS,0,0,git@github.com:spring-projects/spring-data-examples.git,ccae97890f85a3eaf8f4e05a1a07696e2b1e78a4,/jpa/deferred/src/main/java/example/service/Customer758Service.java,7,11,example.service.Customer758Service,0.0,0.0010799136069114472,0.0,0.00010716964955524595,0.0,1.7926287107414314e-05,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.01853454860227099,0.0,2.9437817961886056e-05,0.0,0.0,0.011235955056179775,0.01116391584730643,0.0153999999999999,0.012,0.0
7076084,GOD_CLASS,0,0,git@github.com:linkedin/parseq.git,6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c,/subprojects/parseq-restli-client/src/main/java/com/linkedin/restli/client/ParSeqRestliClient.java,32,111,com.linkedin.restli.client.ParSeqRestliClient,0.0,0.0,0.0,0.0,0.0,0.0009052774989244227,0.0,0.0,0.0,0.0,0.0,0.202,0.0505,0.0,0.0,0.00029705434488812294,0.0,0.0,0.011235955056179775,0.06671926038922776,0.1553999999999999,0.0,0.0
